Signal Legend:

Key        Signal Name

0        = ADCinterface_qsys:ADCinterface|streamtomem_d_in[15..0]
1        = ADCinterface_qsys:ADCinterface|write_master:write_master_0|ddr_writedata[15..0]
2        = ADCinterface_qsys:ADCinterface|write_master:write_master_0|ddr_addr[31..0]

Data Table:

Signals-> 0   1     2         

sample

797       254 00FFh 000030D5h 
798       255 00FFh 000030D5h 
799       44  00FFh 000030D5h 
800       8   00FFh 000030D5h 
801       8   00FFh 000030D5h 
802       8   00FFh 000030D5h 
803       8   00FFh 000030D5h 
804       8   00FFh 000030D5h 
805       8   00FFh 000030D5h 
806       8   00FFh 000030D5h 
807       8   00FFh 000030D5h 
808       8   00FFh 000030D5h 
809       8   00FFh 000030D5h 
810       8   00FFh 000030D5h 
811       8   00FFh 000030D5h 
812       8   00FFh 000030D5h 
813       8   00FFh 000030D5h 
814       8   00FFh 000030D5h 
815       8   00FFh 000030D5h 
816       8   00FFh 000030D5h 
817       8   00FFh 000030D5h 
818       8   00FFh 000030D5h 
819       8   00FFh 000030D5h 
820       8   00FFh 000030D5h 
821       8   00FFh 000030D5h 
822       8   00FFh 000030D5h 
823       8   00FFh 000030D5h 
